crop_type,disease_type,disease_stage,crop_stage,region,is_organic_farming,temperature,humidity,rainfall,soil_ph,nitrogen,organic_pesticide,organic_application_method,organic_dosage,organic_frequency,non_organic_pesticide,non_organic_application_method,non_organic_dosage,non_organic_frequency
onion,root rot,advanced,seedling,Tamil Nadu,1,29.1,71.1,1,6.59,56.0,Garlic-chilli extract,Foliar spray,2.5 ml/L water,Every 5 days,Bavistin,Soil application,2.1 g/L water,Once every 18 days
cotton,downy mildew,advanced,fruiting,Maharashtra,1,32.8,57.3,1,6.21,50.1,Trichoderma viride,Seed treatment,4.7 ml/L water,Every 8 days,Carbendazim,Foliar spray,2.4 g/L water,Once every 19 days
wheat,root rot,advanced,seedling,Tamil Nadu,1,29.2,51.1,2,6.83,50.7,Beauveria bassiana,Foliar spray,2.3 ml/L water,Every 8 days,Thiamethoxam,Soil application,2.8 g/L water,Once every 17 days
mothbeans,leaf blight,mid,fruiting,Punjab,0,31.1,63.7,2,6.1,30.1,Garlic-chilli extract,Seed treatment,4.4 ml/L water,Every 8 days,Bavistin,Foliar spray,2.5 g/L water,Once every 15 days
lentil,powdery mildew,mid,seedling,Bihar,1,27.1,76.8,0,6.86,37.2,Garlic-chilli extract,Soil drench,4.6 ml/L water,Every 7 days,Ridomil Gold,Broadcast spraying,1.6 g/L water,Once every 17 days
potato,downy mildew,early,flowering,Punjab,1,30.5,54.3,0,6.46,36.0,Cow dung decoction,Seed treatment,2.4 ml/L water,Every 9 days,Chlorpyrifos,Foliar spray,2.8 g/L water,Once every 13 days
blackgram,stem rot,advanced,flowering,Bihar,1,26.2,73.9,4,7.03,32.2,Trichoderma viride,Foliar spray,3.5 ml/L water,Every 6 days,Thiamethoxam,Broadcast spraying,1.8 g/L water,Once every 16 days
mothbeans,leaf blight,mid,flowering,Karnataka,1,33.1,68.9,1,6.66,39.7,Trichoderma viride,Soil drench,3.7 ml/L water,Every 7 days,Bavistin,Foliar spray,1.6 g/L water,Once every 11 days
lentil,stem rot,early,flowering,Tamil Nadu,0,27.9,82.5,0,5.9,46.0,Cow urine solution,Soil drench,2.4 ml/L water,Every 8 days,Ridomil Gold,Broadcast spraying,1.5 g/L water,Once every 17 days
tomato,downy mildew,mid,flowering,Karnataka,0,30.0,51.4,1,6.78,47.3,Cow urine solution,Foliar spray,3.2 ml/L water,Every 8 days,Carbendazim,Soil application,1.1 g/L water,Once every 12 days
chickpea,downy mildew,early,vegetative,Karnataka,1,33.2,68.8,1,6.29,39.5,Fish amino acid,Soil drench,3.6 ml/L water,Every 5 days,Tilt (propiconazole),Foliar spray,1.0 g/L water,Once every 18 days
sugarcane,powdery mildew,early,seedling,Bihar,0,29.9,75.3,2,6.37,25.9,Panchagavya,Drip irrigation,3.9 ml/L water,Every 6 days,Fungicide M-45,Soil application,2.1 g/L water,Once every 19 days
barley,downy mildew,advanced,flowering,Karnataka,0,21.9,57.6,2,6.33,45.3,Trichoderma viride,Foliar spray,2.3 ml/L water,Every 8 days,Ridomil Gold,Broadcast spraying,1.6 g/L water,Once every 12 days
coffee,stem rot,advanced,fruiting,Punjab,1,31.8,50.3,1,6.86,48.5,Panchagavya,Foliar spray,2.8 ml/L water,Every 5 days,Fungicide M-45,Foliar spray,1.6 g/L water,Once every 14 days
apple,downy mildew,early,flowering,Punjab,0,29.5,65.3,1,6.57,36.1,Garlic-chilli extract,Drip irrigation,2.8 ml/L water,Every 5 days,Chlorpyrifos,Broadcast spraying,1.2 g/L water,Once every 17 days
rice,downy mildew,early,vegetative,Tamil Nadu,1,31.9,68.3,0,6.46,21.8,Beauveria bassiana,Soil drench,4.9 ml/L water,Every 7 days,Confidor,Soil application,2.9 g/L water,Once every 15 days
rice,leaf blight,advanced,vegetative,Maharashtra,1,23.5,69.5,3,6.34,32.4,Beauveria bassiana,Seed treatment,4.4 ml/L water,Every 9 days,Confidor,Soil application,2.0 g/L water,Once every 12 days
muskmelon,root rot,advanced,seedling,Tamil Nadu,0,34.7,66.3,1,6.42,54.1,Fish amino acid,Drip irrigation,4.4 ml/L water,Every 5 days,Confidor,Soil application,2.5 g/L water,Once every 11 days
sugarcane,leaf blight,early,vegetative,Maharashtra,1,30.5,65.2,1,6.51,44.2,Beauveria bassiana,Seed treatment,2.6 ml/L water,Every 8 days,Carbendazim,Foliar spray,2.8 g/L water,Once every 18 days
grapes,root rot,advanced,fruiting,Tamil Nadu,0,30.2,61.5,0,6.89,40.9,Trichoderma viride,Drip irrigation,4.8 ml/L water,Every 5 days,Thiamethoxam,Broadcast spraying,2.4 g/L water,Once every 19 days
rice,leaf blight,advanced,vegetative,Karnataka,0,23.4,71.8,5,6.32,26.1,Fish amino acid,Soil drench,2.3 ml/L water,Every 7 days,Chlorpyrifos,Foliar spray,2.6 g/L water,Once every 14 days
lentil,stem rot,early,fruiting,Bihar,1,29.1,60.0,1,6.18,50.6,Garlic-chilli extract,Soil drench,2.0 ml/L water,Every 6 days,Fungicide M-45,Soil application,1.1 g/L water,Once every 18 days
millet,stem rot,early,flowering,Karnataka,1,30.5,62.4,3,6.6,39.5,Fish amino acid,Seed treatment,2.3 ml/L water,Every 9 days,Tilt (propiconazole),Broadcast spraying,1.6 g/L water,Once every 11 days
banana,stem rot,early,vegetative,Tamil Nadu,1,29.1,69.0,2,6.44,31.9,Trichoderma viride,Soil drench,4.3 ml/L water,Every 7 days,Carbendazim,Soil application,1.1 g/L water,Once every 20 days
mothbeans,root rot,mid,seedling,Bihar,0,26.0,73.0,2,6.84,38.1,Neem oil spray,Soil drench,3.5 ml/L water,Every 5 days,Bavistin,Foliar spray,1.9 g/L water,Once every 13 days
pomegranate,root rot,mid,flowering,Karnataka,1,29.5,52.4,3,6.23,42.0,Cow urine solution,Drip irrigation,2.1 ml/L water,Every 9 days,Ridomil Gold,Foliar spray,2.9 g/L water,Once every 11 days
kidneybeans,root rot,mid,seedling,Tamil Nadu,0,25.3,68.6,1,6.65,41.4,Fish amino acid,Seed treatment,3.5 ml/L water,Every 10 days,Carbendazim,Foliar spray,1.0 g/L water,Once every 14 days
papaya,leaf blight,mid,vegetative,Bihar,1,26.6,76.2,3,6.47,13.4,Trichoderma viride,Foliar spray,4.7 ml/L water,Every 9 days,Carbendazim,Foliar spray,1.7 g/L water,Once every 19 days
potato,stem rot,mid,vegetative,Tamil Nadu,1,30.2,72.6,1,6.81,27.3,Cow dung decoction,Soil drench,3.5 ml/L water,Every 7 days,Thiamethoxam,Soil application,1.8 g/L water,Once every 13 days
jute,root rot,mid,flowering,Maharashtra,1,32.2,68.4,2,6.78,45.6,Panchagavya,Soil drench,4.3 ml/L water,Every 6 days,Fungicide M-45,Foliar spray,1.6 g/L water,Once every 16 days
apple,leaf blight,advanced,fruiting,Karnataka,1,26.7,70.9,1,6.55,40.8,Cow urine solution,Foliar spray,4.9 ml/L water,Every 7 days,Confidor,Soil application,2.2 g/L water,Once every 16 days
apple,leaf blight,early,vegetative,Punjab,0,29.8,48.8,2,6.56,46.7,Cow dung decoction,Drip irrigation,3.4 ml/L water,Every 8 days,Thiamethoxam,Broadcast spraying,1.1 g/L water,Once every 13 days
watermelon,root rot,mid,seedling,Punjab,1,29.0,73.8,6,6.44,39.2,Fish amino acid,Seed treatment,3.8 ml/L water,Every 7 days,Chlorpyrifos,Foliar spray,2.0 g/L water,Once every 16 days
sugarcane,stem rot,mid,seedling,Karnataka,1,32.4,59.9,3,6.49,44.8,Fish amino acid,Seed treatment,4.7 ml/L water,Every 9 days,Tilt (propiconazole),Soil application,2.5 g/L water,Once every 13 days
mango,leaf blight,advanced,flowering,Tamil Nadu,0,34.6,69.1,0,6.23,48.4,Cow urine solution,Drip irrigation,2.5 ml/L water,Every 8 days,Carbendazim,Broadcast spraying,2.0 g/L water,Once every 11 days
wheat,downy mildew,early,flowering,Maharashtra,1,25.6,57.9,1,6.81,29.5,Fish amino acid,Seed treatment,4.6 ml/L water,Every 8 days,Thiamethoxam,Foliar spray,2.5 g/L water,Once every 12 days
mothbeans,downy mildew,mid,flowering,Karnataka,0,27.1,58.2,2,6.67,33.7,Neem oil spray,Drip irrigation,3.9 ml/L water,Every 8 days,Fungicide M-45,Soil application,2.4 g/L water,Once every 11 days
coffee,stem rot,mid,fruiting,Maharashtra,1,26.0,61.0,3,7.04,36.9,Trichoderma viride,Soil drench,3.0 ml/L water,Every 10 days,Carbendazim,Broadcast spraying,2.4 g/L water,Once every 19 days
wheat,stem rot,mid,seedling,Karnataka,0,32.0,62.4,2,6.31,33.4,Trichoderma viride,Seed treatment,3.0 ml/L water,Every 7 days,Carbendazim,Foliar spray,2.0 g/L water,Once every 14 days
jute,powdery mildew,advanced,seedling,Karnataka,1,31.4,61.6,3,6.36,33.7,Trichoderma viride,Soil drench,3.4 ml/L water,Every 7 days,Tilt (propiconazole),Broadcast spraying,2.7 g/L water,Once every 13 days
wheat,stem rot,early,fruiting,Maharashtra,1,26.8,65.9,3,6.57,40.1,Panchagavya,Seed treatment,5.0 ml/L water,Every 6 days,Tilt (propiconazole),Foliar spray,2.7 g/L water,Once every 17 days
mothbeans,root rot,early,fruiting,Tamil Nadu,1,37.1,84.6,1,6.6,30.6,Garlic-chilli extract,Soil drench,2.3 ml/L water,Every 9 days,Thiamethoxam,Broadcast spraying,2.3 g/L water,Once every 11 days
onion,root rot,mid,flowering,Karnataka,0,24.6,51.6,0,6.05,28.4,Neem oil spray,Foliar spray,3.8 ml/L water,Every 5 days,Fungicide M-45,Soil application,1.3 g/L water,Once every 10 days
mango,root rot,early,fruiting,Maharashtra,1,25.7,80.5,1,6.38,34.1,Garlic-chilli extract,Drip irrigation,3.6 ml/L water,Every 8 days,Ridomil Gold,Soil application,1.2 g/L water,Once every 17 days
blackgram,stem rot,mid,vegetative,Tamil Nadu,1,27.4,60.7,2,6.28,56.3,Garlic-chilli extract,Foliar spray,2.9 ml/L water,Every 8 days,Tilt (propiconazole),Foliar spray,1.6 g/L water,Once every 15 days
wheat,root rot,early,vegetative,Karnataka,1,36.5,51.4,1,6.86,52.9,Beauveria bassiana,Drip irrigation,2.1 ml/L water,Every 8 days,Tilt (propiconazole),Broadcast spraying,1.4 g/L water,Once every 11 days
lentil,powdery mildew,advanced,vegetative,Punjab,1,33.2,64.3,2,6.25,52.4,Beauveria bassiana,Drip irrigation,2.1 ml/L water,Every 10 days,Fungicide M-45,Foliar spray,2.7 g/L water,Once every 14 days
coffee,leaf blight,early,fruiting,Punjab,1,24.9,63.4,2,6.33,31.4,Neem oil spray,Soil drench,4.9 ml/L water,Every 9 days,Fungicide M-45,Broadcast spraying,1.7 g/L water,Once every 14 days
sugarcane,downy mildew,mid,seedling,Tamil Nadu,0,30.8,47.2,2,6.36,31.3,Neem oil spray,Drip irrigation,4.0 ml/L water,Every 9 days,Chlorpyrifos,Broadcast spraying,1.2 g/L water,Once every 14 days
papaya,powdery mildew,mid,flowering,Punjab,0,28.3,50.9,2,7.12,33.1,Cow urine solution,Foliar spray,4.5 ml/L water,Every 9 days,Bavistin,Broadcast spraying,1.0 g/L water,Once every 11 days
coffee,downy mildew,mid,flowering,Tamil Nadu,1,33.0,53.5,1,6.38,40.1,Cow urine solution,Foliar spray,4.3 ml/L water,Every 6 days,Thiamethoxam,Broadcast spraying,1.0 g/L water,Once every 19 days
coconut,downy mildew,advanced,flowering,Punjab,0,27.9,60.8,2,6.3,34.0,Panchagavya,Drip irrigation,3.3 ml/L water,Every 7 days,Bavistin,Foliar spray,2.6 g/L water,Once every 16 days
grapes,root rot,mid,fruiting,Punjab,0,32.2,54.9,4,6.57,39.2,Beauveria bassiana,Foliar spray,4.9 ml/L water,Every 6 days,Confidor,Foliar spray,2.7 g/L water,Once every 18 days
grapes,stem rot,advanced,vegetative,Karnataka,0,29.6,66.9,5,6.36,45.6,Cow urine solution,Drip irrigation,3.5 ml/L water,Every 7 days,Ridomil Gold,Soil application,1.8 g/L water,Once every 14 days
jute,powdery mildew,advanced,fruiting,Bihar,1,33.5,75.4,5,6.2,47.8,Fish amino acid,Foliar spray,2.3 ml/L water,Every 6 days,Bavistin,Soil application,2.3 g/L water,Once every 15 days
blackgram,powdery mildew,early,flowering,Tamil Nadu,0,23.1,62.7,0,6.79,42.2,Trichoderma viride,Seed treatment,2.7 ml/L water,Every 10 days,Confidor,Soil application,1.4 g/L water,Once every 11 days
cotton,root rot,early,fruiting,Punjab,1,30.1,73.2,2,6.62,26.0,Garlic-chilli extract,Drip irrigation,3.6 ml/L water,Every 5 days,Fungicide M-45,Foliar spray,1.6 g/L water,Once every 16 days
chickpea,stem rot,early,seedling,Maharashtra,0,34.0,66.0,5,6.47,42.3,Neem oil spray,Drip irrigation,4.5 ml/L water,Every 6 days,Ridomil Gold,Foliar spray,2.0 g/L water,Once every 10 days
orange,downy mildew,mid,fruiting,Bihar,1,31.8,66.5,4,6.32,27.7,Beauveria bassiana,Drip irrigation,4.6 ml/L water,Every 10 days,Ridomil Gold,Soil application,1.6 g/L water,Once every 11 days
coffee,leaf blight,advanced,vegetative,Karnataka,1,28.6,68.2,2,7.04,49.2,Beauveria bassiana,Foliar spray,4.0 ml/L water,Every 7 days,Fungicide M-45,Foliar spray,2.4 g/L water,Once every 15 days
onion,stem rot,mid,vegetative,Maharashtra,0,28.2,61.5,2,6.22,52.4,Cow dung decoction,Seed treatment,4.9 ml/L water,Every 9 days,Tilt (propiconazole),Broadcast spraying,1.8 g/L water,Once every 18 days
barley,leaf blight,advanced,flowering,Karnataka,0,31.7,73.3,0,6.32,58.1,Beauveria bassiana,Soil drench,3.3 ml/L water,Every 7 days,Tilt (propiconazole),Soil application,2.9 g/L water,Once every 15 days
coffee,powdery mildew,mid,flowering,Tamil Nadu,0,26.8,70.0,3,6.34,47.4,Beauveria bassiana,Soil drench,4.0 ml/L water,Every 6 days,Carbendazim,Foliar spray,1.0 g/L water,Once every 11 days
millet,leaf blight,advanced,fruiting,Bihar,1,29.2,62.0,0,7.11,40.7,Fish amino acid,Soil drench,4.7 ml/L water,Every 5 days,Carbendazim,Soil application,2.9 g/L water,Once every 13 days
barley,stem rot,mid,fruiting,Maharashtra,0,33.2,67.4,2,6.2,30.0,Cow dung decoction,Seed treatment,4.4 ml/L water,Every 5 days,Thiamethoxam,Soil application,1.0 g/L water,Once every 17 days
apple,downy mildew,advanced,vegetative,Tamil Nadu,1,30.0,66.0,3,6.58,53.5,Beauveria bassiana,Drip irrigation,2.5 ml/L water,Every 8 days,Confidor,Broadcast spraying,2.8 g/L water,Once every 14 days
chickpea,leaf blight,early,seedling,Punjab,1,29.1,63.1,1,6.71,40.6,Panchagavya,Foliar spray,2.5 ml/L water,Every 6 days,Chlorpyrifos,Soil application,1.3 g/L water,Once every 20 days
onion,powdery mildew,mid,vegetative,Maharashtra,0,30.3,70.4,4,6.54,39.4,Garlic-chilli extract,Drip irrigation,2.8 ml/L water,Every 7 days,Ridomil Gold,Soil application,1.6 g/L water,Once every 18 days
coconut,leaf blight,mid,flowering,Bihar,0,28.9,68.9,2,6.69,34.9,Beauveria bassiana,Soil drench,2.8 ml/L water,Every 9 days,Bavistin,Soil application,1.6 g/L water,Once every 16 days
coconut,downy mildew,mid,flowering,Tamil Nadu,1,32.1,63.4,1,6.41,32.3,Cow urine solution,Drip irrigation,4.5 ml/L water,Every 5 days,Carbendazim,Broadcast spraying,1.6 g/L water,Once every 17 days
mango,leaf blight,advanced,flowering,Maharashtra,1,30.1,58.7,3,6.29,28.0,Neem oil spray,Seed treatment,2.1 ml/L water,Every 8 days,Bavistin,Broadcast spraying,2.6 g/L water,Once every 18 days
pigeonpeas,downy mildew,advanced,seedling,Karnataka,0,31.6,60.5,1,6.11,24.1,Cow urine solution,Drip irrigation,4.2 ml/L water,Every 8 days,Fungicide M-45,Broadcast spraying,3.0 g/L water,Once every 13 days
onion,leaf blight,mid,flowering,Maharashtra,1,32.0,79.9,4,6.76,37.8,Neem oil spray,Soil drench,2.3 ml/L water,Every 10 days,Bavistin,Broadcast spraying,1.7 g/L water,Once every 14 days
orange,powdery mildew,advanced,fruiting,Bihar,0,28.0,81.8,1,6.28,33.7,Cow dung decoction,Foliar spray,4.4 ml/L water,Every 5 days,Tilt (propiconazole),Soil application,1.9 g/L water,Once every 12 days
barley,downy mildew,early,fruiting,Maharashtra,0,26.6,60.5,1,6.62,27.4,Fish amino acid,Drip irrigation,2.9 ml/L water,Every 9 days,Carbendazim,Soil application,2.1 g/L water,Once every 19 days
barley,stem rot,early,vegetative,Tamil Nadu,1,29.9,50.7,1,6.49,42.9,Neem oil spray,Drip irrigation,3.5 ml/L water,Every 10 days,Bavistin,Foliar spray,2.9 g/L water,Once every 13 days
muskmelon,powdery mildew,advanced,seedling,Tamil Nadu,0,26.2,60.5,2,6.02,39.0,Garlic-chilli extract,Drip irrigation,4.8 ml/L water,Every 7 days,Fungicide M-45,Foliar spray,1.4 g/L water,Once every 19 days
grapes,downy mildew,advanced,fruiting,Tamil Nadu,0,34.4,66.4,0,5.76,43.5,Cow dung decoction,Foliar spray,3.2 ml/L water,Every 10 days,Bavistin,Broadcast spraying,1.2 g/L water,Once every 11 days
kidneybeans,stem rot,mid,vegetative,Punjab,1,31.3,48.9,1,7.08,42.2,Garlic-chilli extract,Seed treatment,3.0 ml/L water,Every 9 days,Chlorpyrifos,Soil application,2.5 g/L water,Once every 18 days
onion,leaf blight,early,vegetative,Tamil Nadu,1,31.7,77.3,4,6.33,24.9,Fish amino acid,Foliar spray,3.9 ml/L water,Every 9 days,Tilt (propiconazole),Broadcast spraying,2.6 g/L water,Once every 12 days
millet,root rot,mid,vegetative,Karnataka,1,24.5,64.2,1,6.42,43.6,Neem oil spray,Foliar spray,3.7 ml/L water,Every 7 days,Fungicide M-45,Foliar spray,1.2 g/L water,Once every 19 days
barley,stem rot,early,flowering,Bihar,1,33.9,58.1,0,6.67,46.5,Cow urine solution,Drip irrigation,2.3 ml/L water,Every 7 days,Bavistin,Soil application,1.0 g/L water,Once every 17 days
potato,stem rot,early,fruiting,Punjab,0,25.7,67.5,0,6.73,33.8,Garlic-chilli extract,Drip irrigation,4.2 ml/L water,Every 9 days,Fungicide M-45,Soil application,2.0 g/L water,Once every 12 days
mothbeans,leaf blight,mid,seedling,Maharashtra,0,30.3,66.8,4,6.2,31.1,Fish amino acid,Seed treatment,4.0 ml/L water,Every 5 days,Carbendazim,Soil application,2.2 g/L water,Once every 15 days
millet,downy mildew,advanced,vegetative,Karnataka,0,26.5,49.0,4,6.46,31.8,Neem oil spray,Seed treatment,4.2 ml/L water,Every 6 days,Chlorpyrifos,Soil application,2.3 g/L water,Once every 12 days
jute,root rot,mid,vegetative,Tamil Nadu,0,28.6,52.2,1,6.6,47.2,Cow urine solution,Drip irrigation,4.7 ml/L water,Every 5 days,Confidor,Soil application,1.2 g/L water,Once every 18 days
coconut,downy mildew,advanced,fruiting,Maharashtra,1,31.2,91.0,3,6.48,37.5,Garlic-chilli extract,Seed treatment,4.4 ml/L water,Every 5 days,Confidor,Broadcast spraying,1.3 g/L water,Once every 18 days
potato,downy mildew,early,vegetative,Tamil Nadu,0,33.8,62.5,0,6.77,41.8,Neem oil spray,Seed treatment,3.8 ml/L water,Every 5 days,Bavistin,Soil application,2.4 g/L water,Once every 16 days
rice,powdery mildew,advanced,flowering,Maharashtra,1,27.5,81.1,4,6.5,34.9,Cow dung decoction,Soil drench,2.5 ml/L water,Every 5 days,Tilt (propiconazole),Broadcast spraying,1.5 g/L water,Once every 12 days
jute,root rot,advanced,fruiting,Tamil Nadu,1,28.4,56.5,2,5.81,37.7,Garlic-chilli extract,Soil drench,3.5 ml/L water,Every 10 days,Ridomil Gold,Foliar spray,2.8 g/L water,Once every 19 days
onion,leaf blight,early,fruiting,Karnataka,0,32.3,49.9,1,5.7,39.4,Neem oil spray,Soil drench,2.2 ml/L water,Every 9 days,Confidor,Soil application,1.9 g/L water,Once every 12 days
banana,leaf blight,advanced,fruiting,Maharashtra,1,28.5,79.4,3,6.76,45.6,Neem oil spray,Drip irrigation,3.2 ml/L water,Every 10 days,Thiamethoxam,Broadcast spraying,1.2 g/L water,Once every 16 days
pomegranate,powdery mildew,mid,vegetative,Bihar,1,22.9,50.2,3,6.68,43.8,Cow urine solution,Foliar spray,4.7 ml/L water,Every 7 days,Carbendazim,Soil application,2.5 g/L water,Once every 17 days
orange,root rot,early,vegetative,Karnataka,1,28.5,51.1,2,6.26,41.4,Garlic-chilli extract,Soil drench,2.3 ml/L water,Every 5 days,Confidor,Soil application,2.8 g/L water,Once every 15 days
grapes,root rot,early,fruiting,Tamil Nadu,1,30.2,46.4,2,6.76,48.5,Garlic-chilli extract,Seed treatment,3.3 ml/L water,Every 9 days,Thiamethoxam,Foliar spray,2.6 g/L water,Once every 11 days
blackgram,stem rot,mid,seedling,Bihar,0,31.9,66.0,3,6.64,48.1,Trichoderma viride,Soil drench,2.7 ml/L water,Every 9 days,Bavistin,Broadcast spraying,1.7 g/L water,Once every 11 days
orange,root rot,mid,flowering,Tamil Nadu,0,25.5,47.9,2,6.86,44.4,Neem oil spray,Drip irrigation,3.8 ml/L water,Every 7 days,Ridomil Gold,Foliar spray,2.9 g/L water,Once every 18 days
millet,root rot,advanced,fruiting,Maharashtra,0,33.6,47.1,3,6.38,45.5,Garlic-chilli extract,Foliar spray,3.6 ml/L water,Every 10 days,Tilt (propiconazole),Foliar spray,2.1 g/L water,Once every 19 days
barley,powdery mildew,advanced,fruiting,Punjab,0,31.0,70.3,2,5.78,47.6,Panchagavya,Foliar spray,4.2 ml/L water,Every 10 days,Bavistin,Foliar spray,2.5 g/L water,Once every 20 days
banana,stem rot,mid,flowering,Tamil Nadu,0,26.0,61.4,3,6.51,31.9,Cow dung decoction,Foliar spray,3.8 ml/L water,Every 8 days,Ridomil Gold,Foliar spray,2.4 g/L water,Once every 10 days
watermelon,downy mildew,early,flowering,Bihar,1,31.0,54.3,1,6.25,57.9,Cow urine solution,Drip irrigation,2.5 ml/L water,Every 8 days,Fungicide M-45,Soil application,1.9 g/L water,Once every 16 days
apple,stem rot,advanced,seedling,Tamil Nadu,1,33.2,58.2,3,6.03,39.4,Cow dung decoction,Drip irrigation,3.8 ml/L water,Every 8 days,Ridomil Gold,Soil application,2.6 g/L water,Once every 10 days
kidneybeans,downy mildew,mid,fruiting,Tamil Nadu,1,27.6,67.5,5,6.47,39.6,Fish amino acid,Foliar spray,4.8 ml/L water,Every 6 days,Tilt (propiconazole),Foliar spray,1.3 g/L water,Once every 13 days
mothbeans,leaf blight,mid,fruiting,Bihar,0,36.6,65.3,2,6.46,33.4,Garlic-chilli extract,Seed treatment,2.2 ml/L water,Every 10 days,Carbendazim,Foliar spray,1.8 g/L water,Once every 17 days
lentil,stem rot,early,vegetative,Punjab,0,31.0,65.3,3,6.44,44.4,Panchagavya,Seed treatment,2.9 ml/L water,Every 10 days,Chlorpyrifos,Soil application,1.7 g/L water,Once every 14 days
coffee,leaf blight,mid,seedling,Tamil Nadu,0,33.6,70.6,1,6.87,41.2,Panchagavya,Drip irrigation,3.8 ml/L water,Every 10 days,Confidor,Broadcast spraying,2.6 g/L water,Once every 11 days
rice,leaf blight,advanced,flowering,Maharashtra,0,29.4,68.8,1,6.48,39.2,Panchagavya,Soil drench,4.6 ml/L water,Every 9 days,Confidor,Foliar spray,1.1 g/L water,Once every 10 days
cotton,leaf blight,early,fruiting,Bihar,0,28.8,61.9,3,6.47,39.5,Neem oil spray,Drip irrigation,2.3 ml/L water,Every 8 days,Fungicide M-45,Foliar spray,2.0 g/L water,Once every 19 days
blackgram,powdery mildew,advanced,flowering,Punjab,1,28.8,70.0,2,6.18,44.6,Cow dung decoction,Seed treatment,4.6 ml/L water,Every 7 days,Tilt (propiconazole),Broadcast spraying,1.0 g/L water,Once every 12 days
muskmelon,root rot,mid,fruiting,Maharashtra,1,34.7,66.4,4,6.45,49.0,Panchagavya,Seed treatment,2.8 ml/L water,Every 9 days,Thiamethoxam,Soil application,2.5 g/L water,Once every 16 days
kidneybeans,stem rot,early,seedling,Tamil Nadu,0,29.5,68.5,3,6.72,36.2,Beauveria bassiana,Foliar spray,3.0 ml/L water,Every 10 days,Ridomil Gold,Broadcast spraying,2.7 g/L water,Once every 15 days
orange,leaf blight,mid,fruiting,Tamil Nadu,0,33.5,55.1,2,6.42,37.8,Fish amino acid,Drip irrigation,3.2 ml/L water,Every 7 days,Tilt (propiconazole),Foliar spray,2.0 g/L water,Once every 12 days
tomato,downy mildew,early,fruiting,Karnataka,0,26.5,70.0,4,6.25,30.2,Trichoderma viride,Drip irrigation,2.5 ml/L water,Every 6 days,Carbendazim,Broadcast spraying,2.7 g/L water,Once every 11 days
maize,root rot,early,seedling,Tamil Nadu,1,31.1,57.1,2,6.2,43.7,Beauveria bassiana,Drip irrigation,4.6 ml/L water,Every 8 days,Ridomil Gold,Broadcast spraying,2.1 g/L water,Once every 10 days
wheat,downy mildew,advanced,flowering,Karnataka,1,28.1,67.3,4,6.5,48.2,Trichoderma viride,Seed treatment,2.1 ml/L water,Every 9 days,Confidor,Foliar spray,2.7 g/L water,Once every 16 days
rice,leaf blight,early,seedling,Tamil Nadu,0,35.4,66.4,3,6.93,41.0,Neem oil spray,Drip irrigation,2.0 ml/L water,Every 8 days,Confidor,Foliar spray,1.6 g/L water,Once every 20 days
coconut,leaf blight,early,vegetative,Karnataka,0,28.1,73.7,1,6.67,46.9,Fish amino acid,Seed treatment,2.4 ml/L water,Every 6 days,Carbendazim,Foliar spray,1.7 g/L water,Once every 14 days
jute,powdery mildew,advanced,seedling,Karnataka,1,32.1,67.1,3,6.63,33.2,Neem oil spray,Foliar spray,3.8 ml/L water,Every 5 days,Carbendazim,Soil application,2.0 g/L water,Once every 14 days
millet,downy mildew,mid,flowering,Maharashtra,1,30.6,78.2,0,6.74,55.3,Cow dung decoction,Soil drench,3.6 ml/L water,Every 5 days,Carbendazim,Broadcast spraying,2.9 g/L water,Once every 13 days
tomato,leaf blight,mid,seedling,Tamil Nadu,1,37.1,46.8,2,6.14,52.9,Panchagavya,Drip irrigation,3.1 ml/L water,Every 7 days,Thiamethoxam,Soil application,1.9 g/L water,Once every 18 days
chickpea,leaf blight,mid,vegetative,Maharashtra,1,29.6,62.8,2,6.7,37.0,Cow urine solution,Foliar spray,3.8 ml/L water,Every 7 days,Bavistin,Soil application,1.0 g/L water,Once every 15 days
mungbean,leaf blight,mid,flowering,Punjab,1,27.8,47.9,4,6.33,29.8,Beauveria bassiana,Foliar spray,2.7 ml/L water,Every 8 days,Thiamethoxam,Soil application,1.4 g/L water,Once every 13 days
pigeonpeas,leaf blight,advanced,fruiting,Karnataka,0,26.5,74.8,2,6.41,27.4,Cow urine solution,Seed treatment,3.3 ml/L water,Every 9 days,Bavistin,Broadcast spraying,1.2 g/L water,Once every 10 days
mango,powdery mildew,mid,seedling,Karnataka,1,23.9,60.1,3,6.53,51.2,Beauveria bassiana,Soil drench,4.0 ml/L water,Every 8 days,Thiamethoxam,Foliar spray,2.6 g/L water,Once every 18 days
papaya,downy mildew,advanced,vegetative,Punjab,1,29.1,52.2,3,6.35,34.8,Cow urine solution,Seed treatment,3.7 ml/L water,Every 9 days,Confidor,Broadcast spraying,1.8 g/L water,Once every 19 days
watermelon,leaf blight,advanced,fruiting,Karnataka,1,30.9,83.2,1,6.46,45.8,Trichoderma viride,Foliar spray,2.9 ml/L water,Every 10 days,Bavistin,Soil application,2.0 g/L water,Once every 14 days
coffee,root rot,mid,vegetative,Bihar,1,28.8,70.8,1,6.5,52.5,Fish amino acid,Soil drench,4.8 ml/L water,Every 5 days,Carbendazim,Soil application,2.8 g/L water,Once every 14 days
